id,name,longitude,latitude,section,intensity
CL001,捕捞点-宜宾-1,104.57,28.74,上游,中
CL002,捕捞点-宜宾-2,104.62,28.77,上游,中
CL003,捕捞点-宜宾-3,104.67,28.8,上游,中
CL004,捕捞点-重庆-1,106.45,29.5,上游,中
CL005,捕捞点-重庆-2,106.5,29.53,上游,中
CL006,捕捞点-重庆-3,106.55,29.56,上游,中
CL007,捕捞点-重庆-4,106.6,29.59,上游,中
CL008,捕捞点-重庆-5,106.65,29.62,上游,中
CL009,捕捞点-宜昌-1,111.14,30.61,上中游交界,中
CL010,捕捞点-宜昌-2,111.19,30.64,上中游交界,中
CL011,捕捞点-宜昌-3,111.24,30.67,上中游交界,中
CL012,捕捞点-宜昌-4,111.29,30.7,上中游交界,中
CL013,捕捞点-宜昌-5,111.34,30.73,上中游交界,中
CL014,捕捞点-宜昌-6,111.39,30.76,上中游交界,中
CL015,捕捞点-荆州-1,112.09,30.24,中游,高
CL016,捕捞点-荆州-2,112.14,30.27,中游,高
CL017,捕捞点-荆州-3,112.19,30.3,中游,高
CL018,捕捞点-荆州-4,112.24,30.33,中游,高
CL019,捕捞点-荆州-5,112.29,30.36,中游,高
CL020,捕捞点-荆州-6,112.34,30.39,中游,高
CL021,捕捞点-武汉-1,114.15,30.51,中游,高
CL022,捕捞点-武汉-2,114.2,30.54,中游,高
CL023,捕捞点-武汉-3,114.25,30.57,中游,高
CL024,捕捞点-武汉-4,114.3,30.6,中游,高
CL025,捕捞点-武汉-5,114.35,30.63,中游,高
CL026,捕捞点-武汉-6,114.4,30.66,中游,高
CL027,捕捞点-安庆-1,116.95,30.47,中下游,高
CL028,捕捞点-安庆-2,117.0,30.5,中下游,高
CL029,捕捞点-安庆-3,117.05,30.53,中下游,高
CL030,捕捞点-安庆-4,117.1,30.56,中下游,高
CL031,捕捞点-安庆-5,117.15,30.59,中下游,高
CL032,捕捞点-芜湖-1,118.28,31.27,中下游,高
CL033,捕捞点-芜湖-2,118.33,31.3,中下游,高
CL034,捕捞点-芜湖-3,118.38,31.33,中下游,高
CL035,捕捞点-芜湖-4,118.43,31.36,中下游,高
CL036,捕捞点-芜湖-5,118.48,31.39,中下游,高
CL037,捕捞点-南京-1,118.68,32.01,下游,中
CL038,捕捞点-南京-2,118.73,32.04,下游,中
CL039,捕捞点-南京-3,118.78,32.07,下游,中
CL040,捕捞点-南京-4,118.83,32.1,下游,中
CL041,捕捞点-扬州-1,119.37,32.36,下游,中
CL042,捕捞点-扬州-2,119.42,32.39,下游,中
CL043,捕捞点-扬州-3,119.47,32.42,下游,中
CL044,捕捞点-上海-1,121.45,31.19,河口,低
CL045,捕捞点-上海-2,121.5,31.22,河口,低
CL046,捕捞点-上海-3,121.55,31.25,河口,低
